,Name,Url,Rating,Difficulty,Tags
6,"Innovation Through Design: Think, Make, Break, Repeat",https://coursera.org/learn/innovation-through-design,4.8,Beginner Level,"['Business', 'Entrepreneurship']"
7,Improving Communication Skills,https://coursera.org/learn/wharton-communication-skills,4.6,Beginner Level,"['Personal Development', 'Personal Development']"
8,Creatividad computacional,https://coursera.org/learn/creatividad-computacional,None,Intermediate Level,"['Computer Science', 'Algorithms']"
9,Communicating Data Science Results,https://coursera.org/learn/data-results,3.6,None,"['Data Science', 'Data Analysis']"
0,Design Thinking,https://coursera.org/learn/design-thinking-innovation,4.6,Beginner Level,"['Business', 'Entrepreneurship']"
1,Modern American Poetry,https://coursera.org/learn/modern-american-poetry,4.5,Beginner Level,"['Arts and Humanities', 'Music and Art']"
2,More Chinese for Beginners,https://coursera.org/learn/more-chinese-for-beginners,4.7,None,"['Language Learning', 'Other Languages']"
3,Aspectos básicos de la planificación y la gestión de proyectos,https://coursera.org/learn/uva-darden-project-management-es,4.9,Beginner Level,"['Business', 'Business Essentials']"
4,The Modern and the Postmodern (Part 2),https://coursera.org/learn/modern-postmodern-2,4.7,None,"['Arts and Humanities', 'History']"
5,Marketing Gerencial,https://coursera.org/learn/marketing-gerencial,4.8,Intermediate Level,"['Business', 'Finance']"
6,Основы микроэкономики (Microeconomics Principles),https://coursera.org/learn/mikroekonomika,4.5,Beginner Level,"['Social Sciences', 'Economics']"
7,Leading transformations: Manage change,https://coursera.org/learn/change-management,4.5,Beginner Level,"['Business', 'Leadership and Management']"
8,Cómo autoconstruir tu vivienda. Segunda etapa,https://coursera.org/learn/como-autoconstruir-tu-vivienda-segunda-etapa,4.8,Beginner Level,"['Physical Science and Engineering', 'Electrical Engineering']"
9,Растровая графика. Adobe Photoshop CC,https://coursera.org/learn/rastrovaya-grafika-adobe-photoshop,4.6,Beginner Level,"['Computer Science', 'Design and Product']"
0,Entrepreneurship Strategy: From Ideation to Exit,https://coursera.org/learn/entrepreneurship-strategy,4.8,Beginner Level,"['Business', 'Leadership and Management']"
1,Conflict Resolution Skills,https://coursera.org/learn/conflict-resolution-skills,4.3,None,"['Business', 'Business Essentials']"
2,Serious Gaming,https://coursera.org/learn/serious-gaming,4.5,None,"['Social Sciences', 'Education']"
3,Введение в системное проектирование,https://coursera.org/learn/systems-engineering-2,4.4,Beginner Level,"['Physical Science and Engineering', 'Research Methods']"
4,Advanced Deployment Scenarios with TensorFlow,https://coursera.org/learn/advanced-deployment-scenarios-tensorflow,None,Intermediate Level,"['Computer Science', 'Software Development']"
5,The Science of Success: What Researchers Know that You Should Know,https://coursera.org/learn/success,4.8,Beginner Level,"['Business', 'Leadership and Management']"
6,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://coursera.org/learn/build-a-computer,4.9,None,"['Computer Science', 'Algorithms']"
7,Toledo: Deciphering Secrets of Medieval Spain,https://coursera.org/learn/toledo-deciphering-secrets-medieval-spain,4.6,Intermediate Level,"['Arts and Humanities', 'History']"
8,Introduction to Data Analytics for Business,https://coursera.org/learn/data-analytics-business,4.7,None,"['Data Science', 'Data Analysis']"
9,Getting Your Film off the Ground,https://coursera.org/learn/film-off-ground,4.4,Beginner Level,"['Arts and Humanities', 'Music and Art']"
0,Hot Topics in Criminal Justice,https://coursera.org/learn/hot-topics-criminal-justice,4.9,Beginner Level,"['Social Sciences', 'Law']"
1,"Learning, Knowledge, and Human Development ",https://coursera.org/learn/learning-knowledge-human-development,4,Beginner Level,"['Social Sciences', 'Education']"
2,Front-End Web UI Frameworks and Tools: Bootstrap 4,https://coursera.org/learn/bootstrap-4,4.8,Intermediate Level,"['Computer Science', 'Mobile and Web Development']"
3,Introducción a la producción musical,https://coursera.org/learn/intro-produccion-musical,4.9,Intermediate Level,"['Arts and Humanities', 'Music and Art']"
4,Elastic Cloud Infrastructure: Containers and Services dalam bahasa Indonesia,https://coursera.org/learn/gcp-infrastructure-containers-services-id,4.9,Intermediate Level,"['Information Technology', 'Cloud Computing']"
5,Financial Analysis for Startups,https://coursera.org/learn/financial-ratios,4.4,Beginner Level,"['Business', 'Finance']"
6,Arts and Heritage Management,https://coursera.org/learn/arts-heritage,4.8,None,"['Business', 'Marketing']"
7,Fundamentals of Quantitative Modeling,https://coursera.org/learn/wharton-quantitative-modeling,4.6,None,"['Business', 'Business Essentials']"
8,Using clinical health data for better healthcare,https://coursera.org/learn/healthcare-data,4.6,Beginner Level,"['Health', 'Health Informatics']"
9,Enterprise Architecture,https://coursera.org/learn/enterprise-architecture,None,Beginner Level,"['Business', 'Business Essentials']"
0,Teach English Now! Capstone Project 2,https://coursera.org/learn/teaching-english-capstone-2,4.9,Beginner Level,"['Language Learning', 'Learning English']"
1,"Introduction to CAD, CAM, and Practical CNC Machining",https://coursera.org/learn/introduction-cad-cam-practical-cnc-machining,4.9,Advanced Level,"['Physical Science and Engineering', 'Mechanical Engineering']"
2,Психология коммуникации,https://coursera.org/learn/psikhologiya-kommunikacii,4.6,Beginner Level,"['Social Sciences', 'Governance and Society']"
3,Inferential and Predictive Statistics for Business,https://coursera.org/learn/business-statistics,4.8,None,"['Business', 'Business Essentials']"
4,Summary Statistics in Public Health,https://coursera.org/learn/summary-statistics,4.8,Beginner Level,"['Health', 'Public Health']"
5,Unordered Data Structures,https://coursera.org/learn/cs-fundamentals-3,4.8,None,"['Computer Science', 'Software Development']"
6,What is Social?,https://coursera.org/learn/what-is-social,4.6,None,"['Business', 'Marketing']"
7,"Итоговый проект специализации ""Финансовые инструменты для частного инвестора""",https://coursera.org/learn/financial-instruments-capstone,4.5,None,"['Business', 'Finance']"
8,Networking in GCP: Hybrid Connectivity and Network Management,https://coursera.org/learn/networking-gcp-hybrid-connectivity-network-management,4.8,Intermediate Level,"['Information Technology', 'Networking']"
9,"Managerial Accounting: Cost Behaviors, Systems, and Analysis",https://coursera.org/learn/accounting-for-managers,4.7,None,"['Business', 'Finance']"
0,Introduction to English Common Law,https://coursera.org/learn/intro-common-law,4.8,Beginner Level,"['Social Sciences', 'Law']"
1,Professional Responsibility and Ethics for Accountants,https://coursera.org/learn/ethics,None,None,"['Business', 'Leadership and Management']"
2,Sustainable Business Enterprises,https://coursera.org/learn/sustainable-business-enterprises,4.4,None,"['Business', 'Business Strategy']"
3,Composição: Escrevendo a letra,https://coursera.org/learn/composicao-escrevendo-letra,4.9,Beginner Level,"['Arts and Humanities', 'Music and Art']"
4,Gestión estratégica de Escuelas en Contextos Rurales,https://coursera.org/learn/gestion-estrategica-escuelas-rurales,4.9,Beginner Level,"['Social Sciences', 'Education']"
5,Teaching Impacts of Technology: Workplace of the Future,https://coursera.org/learn/teach-impacts-technology-workplace-future,None,Beginner Level,"['Social Sciences', 'Education']"
6,Expanded FPGA Training with NIOS II,https://coursera.org/learn/fpga-training-nios-ii,None,Intermediate Level,"['Physical Science and Engineering', 'Electrical Engineering']"
7,"Anatomy: Cardiovascular, Respiratory and Urinary Systems",https://coursera.org/learn/anatomy403-2x,4.8,Beginner Level,"['Health', 'Basic Science']"
8,Water Supply and Sanitation Policy in Developing Countries Part 2: Developing Effective Interventions,https://coursera.org/learn/water-part-2,4.4,Intermediate Level,"['Social Sciences', 'Governance and Society']"
9,القيادة الدولية والسلوك التنظيمي,https://coursera.org/learn/organizational-behavior-ar,4.8,None,"['Business', 'Leadership and Management']"
0,"Trabaja inteligentemente, no más duro: Gestión del tiempo para la productividad personal y profesional ",https://coursera.org/learn/trabaja-inteligentemente,4.5,None,"['Business', 'Leadership and Management']"
1,Application Systems Programming,https://coursera.org/learn/application-systems-programming,4.5,Intermediate Level,"['Computer Science', 'Software Development']"
2,Strategies for winning. Meteorology in a round the world regatta,https://coursera.org/learn/meteorology,4.5,None,"['Physical Science and Engineering', 'Physics and Astronomy']"
